"A" "B" "P" "BT"
"1" 0.224 0.235 0.223 0.252473015214147
"2" 0.509 0.518 0.517 0.538977913411395
"3" 0.5 0.453 0.484 0.489917503537773
"4" 0.89 0.878 0.905 0.79885300004595
"5" 0.635 0.628 0.649 0.615208574353357
"6" 0.862 0.85 0.868 0.797982442740407
"7" 0.956 0.962 0.975 0.900564516857522
"8" 0.113 0.128 0.128 0.140673237895228
"9" 0.558 0.539 0.571 0.562651629628209
"10" 0.38 0.395 0.409 0.428502001066168
"11" 0.465 0.462 0.484 0.494447228476034
"12" 0.809 0.808 0.847 0.779317366638377
"13" 0.013 0.007 0.004 0.00593932554359788
"14" 0.312 0.295 0.298 0.316079667101618
"15" 0.74 0.735 0.766 0.709320613137308
"16" 0.3 0.262 0.256 0.285282157608747
"17" 0.09 0.091 0.104 0.107806621637508
"18" 0.587 0.566 0.627 0.579252983321927
"19" 0.148 0.161 0.132 0.164873669613614
"20" 0.126 0.115 0.113 0.145425014009232
"21" 0.337 0.354 0.377 0.369011715846318
"22" 0.894 0.904 0.913 0.838067647741832
"23" 0.842 0.848 0.859 0.800645644547419
"24" 0.631 0.635 0.676 0.649281899007351
"25" 0.326 0.314 0.337 0.350562452549151
"26" 0.462 0.456 0.474 0.482972435090582
"27" 0.806 0.811 0.823 0.78324512286238
"28" 0.504 0.514 0.484 0.515548871968631
"29" 0.695 0.647 0.688 0.645244711044489
"30" 0.135 0.108 0.131 0.128017931489811
"31" 0.746 0.728 0.773 0.708628559702416
"32" 0.495 0.462 0.467 0.498216113709372
"33" 0.652 0.668 0.669 0.666271357633589
"34" 0.976 0.982 0.99 0.929727650830006
"35" 0.558 0.55 0.57 0.567985030742049
"36" 0.978 0.975 0.976 0.911165322660072
"37" 0.707 0.711 0.751 0.690589248383516
"38" 0.304 0.314 0.339 0.334489857806328
"39" 0.538 0.559 0.546 0.55458780075311
"40" 0.787 0.783 0.814 0.750146424944961
"41" 0.165 0.167 0.156 0.17430490451729
"42" 0.621 0.605 0.648 0.610782467265151
"43" 0.225 0.225 0.233 0.249602692746467
"44" 0.906 0.886 0.925 0.822839058508949
"45" 0.988 0.992 0.992 0.946622978978684
"46" 0.202 0.209 0.204 0.215351882535766
"47" 0.554 0.553 0.56 0.558769536573418
"48" 0.463 0.464 0.495 0.496516729683219
"49" 0.139 0.151 0.16 0.176912952033248
"50" 0.989 0.998 0.995 0.934486750434194
"51" 0.406 0.406 0.439 0.433828544569607
"52" 0.511 0.49 0.487 0.502720298818966
"53" 0.779 0.788 0.802 0.755121390107067
"54" 0.326 0.37 0.346 0.381475664744626
"55" 0.6 0.624 0.654 0.596513562023896
"56" 0.316 0.358 0.318 0.382311618671004
"57" 0.77 0.776 0.794 0.740576066431735
"58" 0.949 0.94 0.961 0.892819324766755
"59" 0.709 0.712 0.714 0.68255379171246
"60" 0.852 0.875 0.886 0.794004814243431
"61" 0.162 0.151 0.168 0.192599105588602
"62" 0.732 0.772 0.78 0.709189557063572
"63" 0.784 0.809 0.807 0.763883202824885
"64" 0.121 0.135 0.13 0.151275004244398
"65" 0.349 0.352 0.35 0.366049291466564
"66" 0.199 0.148 0.17 0.189678905262926
"67" 0.179 0.184 0.173 0.196623135736075
"68" 0.683 0.675 0.685 0.650811777995811
"69" 0.565 0.546 0.586 0.559347433859996
"70" 0.622 0.606 0.628 0.597986491970898
"71" 0.36 0.347 0.324 0.382245330897701
"72" 0.486 0.504 0.52 0.51062594303508
"73" 0.739 0.747 0.743 0.68723170999667
"74" 0.708 0.69 0.723 0.677628906133898
"75" 0.302 0.293 0.306 0.326269656200384
"76" 0.835 0.83 0.838 0.770018342737446
"77" 0.611 0.586 0.619 0.597364026039415
"78" 0.582 0.589 0.615 0.598216474200129
"79" 0.734 0.701 0.735 0.700599935855654
"80" 0.373 0.386 0.385 0.414366785767099
"81" 0.092 0.085 0.097 0.102562319148308
"82" 0.163 0.137 0.159 0.168176486222521
"83" 0.071 0.077 0.087 0.0714567748959893
"84" 0.534 0.537 0.535 0.542554705492197
"85" 0.333 0.285 0.331 0.355658029112964
"86" 0.607 0.608 0.613 0.605183522949809
"87" 0.215 0.188 0.225 0.225609405167541
"88" 0.845 0.859 0.882 0.799939725780582
"89" 0.149 0.179 0.165 0.183621657399154
"90" 0.547 0.53 0.547 0.557837917567439
"91" 0.583 0.588 0.613 0.594557843522003
"92" 0.819 0.84 0.828 0.749250966938259
"93" 0.808 0.817 0.846 0.786231165135763
"94" 0.023 0.024 0.025 0.0215373627387246
"95" 0.061 0.049 0.052 0.0529437356498232
"96" 0.059 0.067 0.065 0.0602555791069183
"97" 0.088 0.093 0.105 0.101626479216332
"98" 0.909 0.903 0.918 0.848697894023396
"99" 0.745 0.72 0.749 0.691973855572687
"100" 0.814 0.804 0.823 0.75212388195647
"101" 0.159 0.155 0.15 0.17738526115845
"102" 0.709 0.679 0.713 0.663291670039096
"103" 0.209 0.185 0.18 0.211522464702009
"104" 0.858 0.837 0.875 0.801021584867297
"105" 0.608 0.579 0.626 0.604505503852173
"106" 0.058 0.059 0.054 0.0552377764227202
"107" 0.725 0.739 0.729 0.691748069530875
"108" 0.774 0.818 0.812 0.760216011185841
"109" 0.619 0.611 0.608 0.603877900780288
"110" 0.882 0.857 0.886 0.804857566406895
"111" 0.708 0.739 0.729 0.693133289009489
"112" 0.945 0.949 0.949 0.89617642093396
"113" 0.906 0.91 0.935 0.856589831498205
"114" 0.928 0.939 0.932 0.871005523870485
"115" 0.321 0.285 0.314 0.345724819591251
"116" 0.521 0.522 0.537 0.524844129933888
"117" 0.769 0.78 0.77 0.720028454589557
"118" 0.115 0.131 0.125 0.148689963839679
"119" 0.375 0.375 0.368 0.400088898960198
"120" 0.995 0.997 0.999 0.968075353983916
"121" 0.713 0.744 0.727 0.685958601400753
"122" 0.452 0.463 0.481 0.487197381371493
"123" 0.105 0.119 0.099 0.105084044834886
"124" 0.149 0.159 0.151 0.164165356954695
"125" 0.629 0.646 0.673 0.638406094428741
"126" 0.198 0.191 0.189 0.212881127883907
"127" 0.686 0.652 0.695 0.643007291048593
"128" 0.941 0.94 0.957 0.887340674863328
"129" 0.334 0.309 0.307 0.330788028953181
"130" 0.291 0.289 0.321 0.353185369143137
"131" 0.323 0.325 0.331 0.349922614182938
"132" 0.217 0.199 0.205 0.240725574322363
"133" 0.735 0.718 0.759 0.716097026601325
"134" 0.696 0.73 0.752 0.704502722235899
"135" 0.156 0.124 0.131 0.148924745234281
"136" 0.213 0.236 0.26 0.267768935505382
"137" 0.775 0.767 0.777 0.727029231966392
"138" 0.447 0.43 0.457 0.475246509940676
"139" 0.213 0.274 0.204 0.254792725377149
"140" 0.131 0.118 0.142 0.152741040345982
"141" 0.414 0.415 0.402 0.438504267988183
"142" 0.965 0.95 0.972 0.895233469485658
"143" 0.928 0.929 0.962 0.879696285217361
"144" 0.685 0.695 0.711 0.676259744898445
"145" 0.222 0.225 0.218 0.242301143027047
"146" 0.703 0.728 0.71 0.681975699629069
"147" 0.792 0.753 0.779 0.736648665269465
"148" 0.39 0.407 0.399 0.422884472899441
"149" 0.203 0.214 0.225 0.251172945786473
"150" 0.779 0.793 0.79 0.720509787008048
"151" 0.274 0.278 0.312 0.321210370035815
"152" 0.932 0.923 0.942 0.866771917115453
"153" 0.867 0.874 0.872 0.82497799764309
"154" 0.379 0.347 0.37 0.387770909004215
"155" 0.738 0.736 0.756 0.707929427026897
"156" 0.846 0.84 0.873 0.775157723439986
"157" 0.317 0.338 0.316 0.354746506306005
"158" 0.239 0.227 0.229 0.257342706094597
"159" 0.164 0.172 0.186 0.184256305014098
"160" 0.915 0.92 0.944 0.867293305629895
"161" 0.227 0.231 0.227 0.23897356999159
"162" 0.501 0.476 0.509 0.496566198686176
"163" 0.557 0.538 0.536 0.55241762700513
"164" 0.337 0.337 0.346 0.382646909621094
"165" 0.061 0.069 0.074 0.0708483061369762
"166" 0.525 0.506 0.535 0.532923802793398
"167" 0.354 0.374 0.368 0.38169827141655
"168" 0.413 0.408 0.429 0.444495012061347
"169" 0.408 0.426 0.427 0.442428576894182
"170" 0.715 0.705 0.767 0.703261992034889
"171" 0.122 0.095 0.117 0.110666577516091
"172" 0.245 0.23 0.241 0.286387990213464
"173" 0.251 0.263 0.266 0.284153074565094
"174" 0.054 0.043 0.066 0.046498225479116
