"A" "B" "P" "BT"
"1" 0.106 0.08 0.101 0.104688305605872
"2" 0.364 0.363 0.389 0.388093813141812
"3" 0.013 0.015 0.012 0.00987866584030239
"4" 0.191 0.166 0.202 0.213276637738462
"5" 0.007 0.005 0.001 0.00312153992095299
"6" 0.015 0.011 0.012 0.00789132719630414
"7" 0.043 0.051 0.041 0.0417807787976875
"8" 0.132 0.097 0.107 0.122638844438353
"9" 0 0 0 1.66857780082852e-05
"10" 0.223 0.212 0.219 0.248858944007889
"11" 0.005 0.004 0.001 0.00250964457871672
"12" 0.045 0.049 0.056 0.0503713514121764
"13" 0.103 0.116 0.129 0.11689685969566
"14" 0.083 0.07 0.076 0.0805575764043718
"15" 0.032 0.033 0.037 0.026871557172009
"16" 0.001 0.001 0 2.07849526454584e-05
"17" 0.021 0.041 0.031 0.0329060767559308
"18" 0.201 0.208 0.211 0.229366925731756
"19" 0.001 0.001 0.001 0.000189459071783471
"20" 0.03 0.031 0.025 0.020361062055823
"21" 0.139 0.147 0.139 0.153922674931597
"22" 0.254 0.254 0.25 0.291464115239255
"23" 0.103 0.103 0.118 0.115625123389924
"24" 0.094 0.089 0.106 0.106735023079066
"25" 0.029 0.024 0.025 0.0206326638180421
"26" 0.001 0.004 0.009 0.00191675733803198
"27" 0 0.002 0.003 0.00133164793564022
"28" 0.003 0.003 0.001 0.00117337801741446
"29" 0 0 0 1.75601866381214e-10
"30" 0.034 0.033 0.029 0.0294585239076804
"31" 0.005 0.007 0.011 0.0026990664835691
"32" 0.297 0.277 0.284 0.329152270256168
"33" 0.076 0.071 0.086 0.0804018768638801
"34" 0.027 0.035 0.032 0.0305921149301718
"35" 0.015 0.012 0.013 0.00713697439741867
"36" 0.061 0.052 0.053 0.0532275177510744
"37" 0.017 0.018 0.015 0.0104172063384718
"38" 0.161 0.179 0.141 0.181589702386752
"39" 0 0 0.004 9.7570235519151e-05
"40" 0.113 0.101 0.121 0.123854720790677
"41" 0.003 0.002 0.003 0.00140430860029128
"42" 0 0 0 1.2418818196025e-09
"43" 0.002 0 0 0.00046586329314513
"44" 0 0 0 6.12652247743428e-05
"45" 0.01 0.003 0.004 0.00236433440760109
"46" 0.033 0.028 0.046 0.0315258263492467
"47" 0.003 0.001 0 0.000244136165369557
"48" 0.01 0.01 0.012 0.00904885739463246
"49" 0.09 0.101 0.103 0.100323716237884
"50" 0.674 0.67 0.694 0.63014493773767
"51" 0.018 0.015 0.015 0.0142007925200081
"52" 0 0 0 2.42815711981592e-09
"53" 0.031 0.043 0.043 0.0301779793031514
"54" 0.126 0.12 0.155 0.153961954572806
"55" 0.008 0.007 0.015 0.00416029187013822
"56" 0.053 0.055 0.064 0.0571821849798032
"57" 0 0 0 0.000120239728768401
"58" 0.16 0.178 0.163 0.192363561333603
"59" 0.118 0.113 0.122 0.121009334004606
"60" 0.027 0.036 0.035 0.0229419828626325
"61" 0.377 0.381 0.379 0.410056352339975
"62" 0 0 0 2.6163080109054e-06
"63" 0.002 0 0 0.000215022745640336
"64" 0.007 0.007 0.006 0.00819280242362064
"65" 0.025 0.034 0.031 0.0244682062352147
"66" 0.002 0.002 0.005 0.000708555528491361
"67" 0.152 0.128 0.149 0.149457138898929
"68" 0.738 0.756 0.752 0.70019680848338
"69" 0.054 0.043 0.071 0.0532845222309462
"70" 0 0 0 1.93375549373265e-06
"71" 0 0.002 0 0.00048781512078544
"72" 0.095 0.103 0.113 0.118620049328388
"73" 0.015 0.02 0.022 0.012417058081141
"74" 0.012 0.015 0.023 0.00839033969062453
"75" 0.545 0.532 0.509 0.53706309835915
"76" 0.004 0.002 0.009 0.0034892393937771
"77" 0.031 0.038 0.048 0.0357346011350181
"78" 0.001 0 0.003 0.00011412099499386
"79" 0.111 0.101 0.103 0.11980116273505
"80" 0.222 0.215 0.213 0.245148468589589
"81" 0.098 0.101 0.116 0.126373963869499
"82" 0.106 0.125 0.126 0.122176569778827
"83" 0.009 0.008 0.012 0.00481802262398268
"84" 0.672 0.698 0.68 0.653287351746015
"85" 0.02 0.024 0.019 0.0163327405211422
"86" 0.026 0.028 0.039 0.0221085287420605
"87" 0.005 0.008 0.008 0.00609595846969091
"88" 0.537 0.575 0.584 0.553346623835637
"89" 0.312 0.361 0.345 0.375542911766054
"90" 0.295 0.285 0.291 0.32271589282189
"91" 0 0 0 9.47087624817433e-05
"92" 0.023 0.021 0.034 0.020192988026612
"93" 0 0.001 0 9.54496394429682e-05
"94" 0.017 0.011 0.026 0.0164898116542366
"95" 0.003 0.003 0.007 0.0024198980218354
"96" 0 0 0.002 1.22143644498696e-05
"97" 0.002 0.005 0.013 0.00217543317940894
"98" 0.001 0 0 1.32924930354994e-05
"99" 0 0 0 2.09335090506357e-05
"100" 0.031 0.019 0.028 0.0210589827495167
"101" 0.092 0.083 0.109 0.0945447892496342
"102" 0.121 0.118 0.127 0.134944258518251
"103" 0 0 0.001 3.10206397347024e-06
"104" 0.224 0.227 0.227 0.260440090922328
"105" 0.09 0.095 0.086 0.105872175808673
"106" 0.027 0.027 0.033 0.0255478692754334
"107" 0 0 0 2.47633469285802e-10
"108" 0.201 0.2 0.209 0.228656462482346
"109" 0.01 0.006 0.007 0.00358992723359264
"110" 0.09 0.093 0.108 0.0986043727444781
"111" 0 0 0 1.30934165497587e-05
"112" 0.179 0.176 0.174 0.191987880387325
"113" 0.133 0.124 0.137 0.154026555375861
"114" 0.077 0.072 0.074 0.0778369895705533
"115" 0.15 0.131 0.137 0.156597771282397
"116" 0.484 0.451 0.419 0.472142011345041
"117" 0.055 0.049 0.057 0.0571963429914529
"118" 0.313 0.354 0.362 0.38243778422216
"119" 0.007 0.01 0.007 0.00601286963566217
"120" 0.008 0.003 0.006 0.00248644321145619
"121" 0.007 0.011 0.011 0.00559846571405032
"122" 0.001 0.002 0.004 0.000309241939015492
"123" 0.131 0.147 0.149 0.177091016108595
"124" 0 0 0.001 0.00016591298584645
"125" 0.049 0.066 0.081 0.0656823351750088
"126" 0.003 0.002 0.005 0.00216601232255342
"127" 0.017 0.016 0.023 0.0123355179506833
"128" 0.038 0.043 0.055 0.0469203528305997
"129" 0.049 0.036 0.048 0.0441463053484679
"130" 0.025 0.017 0.017 0.0122322859244534
"131" 0.011 0.014 0.021 0.0101851787511478
"132" 0.009 0.01 0.01 0.00834981500851917
"133" 0.056 0.045 0.06 0.0524538610805982
"134" 0.046 0.053 0.066 0.053836397320704
"135" 0.002 0.002 0.005 0.000947383259748524
"136" 0.156 0.167 0.149 0.177572945776785
"137" 0.001 0.001 0.007 0.000476847209363473
"138" 0.003 0.002 0.002 0.000654371780380525
"139" 0.01 0.016 0.015 0.0087569172261649
"140" 0.006 0.004 0.005 0.00312004724578718
"141" 0.015 0.01 0.013 0.00926003220563643
"142" 0.004 0.006 0.011 0.00481814922194423
"143" 0.083 0.07 0.082 0.0873226990890251
"144" 0.005 0.007 0.004 0.00311438923654717
"145" 0.004 0.009 0.01 0.00474900299558367
"146" 0.026 0.021 0.029 0.0213238667990797
"147" 0.015 0.024 0.019 0.0147542372601847
"148" 0.72 0.668 0.743 0.674257875085734
"149" 0.354 0.334 0.355 0.386258055309948
"150" 0.002 0 0.002 0.000533989224550724
"151" 0.093 0.092 0.115 0.11663699159792
"152" 0.02 0.014 0.023 0.0179634431826405
"153" 0 0.001 0.001 0.000109207177860893
"154" 0 0 0 7.6959788952724e-07
"155" 0.012 0.018 0.022 0.0135777728864782
"156" 0.497 0.46 0.522 0.509279229496782
"157" 0 0 0.001 0.000139569401778838
"158" 0.003 0.003 0.003 0.00147022583884604
"159" 0.086 0.082 0.071 0.0919771333163149
"160" 0.19 0.188 0.157 0.199314654695941
"161" 0.264 0.258 0.272 0.289740338083317
"162" 0 0.002 0.001 6.57760200349911e-05
"163" 0.036 0.043 0.045 0.0355179410994348
"164" 0.826 0.827 0.821 0.749728426019659
"165" 0.001 0 0 3.14821385871689e-06
"166" 0.029 0.039 0.044 0.0300949316276241
"167" 0 0.001 0.001 0.000296593725234606
"168" 0.6 0.567 0.552 0.571067652357806
"169" 0.002 0.003 0.002 0.000456624487615631
"170" 0.017 0.014 0.02 0.0123844135357877
"171" 0.012 0.021 0.02 0.0120915218368119
"172" 0.083 0.081 0.09 0.088990473373125
"173" 0.004 0.004 0.006 0.00191440968329049
"174" 0.006 0.004 0.003 0.00184966058499902
"175" 0.104 0.098 0.104 0.101532163479864
"176" 0.098 0.097 0.1 0.106255185277001
"177" 0 0.001 0 0.000197771884798303
"178" 0.002 0 0 5.98889389764601e-05
"179" 0.054 0.053 0.049 0.0461810076820961
"180" 0.094 0.102 0.081 0.109612038549507
"181" 0.078 0.066 0.07 0.0697381938456261
"182" 0.207 0.176 0.21 0.220248591882072
"183" 0.003 0 0.003 0.00074677041832083
"184" 0.094 0.083 0.097 0.107514109276629
"185" 0.016 0.015 0.015 0.0116517574238151
"186" 0 0 0 1.88983815955224e-05
"187" 0.001 0.004 0.003 0.000786236342048108
"188" 0.008 0.008 0.011 0.00609272180818177
"189" 0 0 0 5.96701839050695e-08
"190" 0 0 0 6.71652733430506e-11
"191" 0.012 0.011 0.012 0.00845601972474486
"192" 0.018 0.01 0.02 0.0108636754613312
"193" 0 0 0 3.71682186360855e-05
"194" 0 0 0.001 7.61821828128006e-05
"195" 0.002 0.002 0.002 0.000422694031909643
"196" 0.028 0.023 0.026 0.0186217197984618
"197" 0.002 0 0.002 0.000162471017286614
"198" 0.087 0.073 0.06 0.079471136410465
"199" 0 0 0 1.04213640814699e-05
"200" 0.03 0.028 0.029 0.0212321981772602
"201" 0.114 0.113 0.096 0.126561403495254
"202" 0.005 0.005 0.011 0.00300614621251116
"203" 0.008 0.003 0.01 0.00268332905750923
"204" 0.054 0.054 0.057 0.0618415778767104
"205" 0.012 0.015 0.008 0.00677280054549279
"206" 0 0 0 2.00867296129559e-08
"207" 0.001 0.003 0.003 0.00234221756630992
"208" 0 0 0 1.50540463672577e-06
"209" 0.141 0.136 0.146 0.16510831271631
"210" 0.013 0.012 0.005 0.00852189843467843
"211" 0.036 0.049 0.045 0.0429920642894042
"212" 0 0 0 6.35673699577177e-05
"213" 0.024 0.023 0.036 0.0278693471561386
"214" 0.073 0.096 0.105 0.101735395178396
"215" 0.386 0.412 0.413 0.424006508704185
"216" 0 0 0 7.41788761438045e-05
"217" 0.009 0.011 0.018 0.00916930884880585
"218" 0.192 0.165 0.179 0.200824615755399
"219" 0.277 0.273 0.263 0.305136811566753
"220" 0.001 0 0.001 6.66625085881112e-05
"221" 0.186 0.2 0.218 0.222941728947979
"222" 0.183 0.185 0.198 0.21886156604758
"223" 0.152 0.156 0.161 0.172694522747047
"224" 0 0 0 2.77494692502156e-05
"225" 0.431 0.442 0.409 0.436739562848553
"226" 0.498 0.541 0.54 0.544061333703308
"227" 0.003 0.001 0.003 0.000327591130501181
"228" 0.001 0.002 0.002 0.000496246380527254
"229" 0.001 0.002 0.001 0.000147792896705745
"230" 0 0 0.001 0.000108830524724435
"231" 0.513 0.571 0.568 0.550192411184474
"232" 0.104 0.09 0.098 0.111635020096516
"233" 0.056 0.042 0.046 0.0366539013009041
"234" 0.093 0.096 0.075 0.0995469537411074
"235" 0.445 0.476 0.475 0.491632180321409
"236" 0.028 0.024 0.027 0.0263576349558655
"237" 0.007 0.014 0.015 0.00829627701725133
"238" 0.045 0.048 0.054 0.0505989090252271
"239" 0.529 0.472 0.491 0.508274035651695
"240" 0.076 0.067 0.077 0.0748302925635129
"241" 0.018 0.015 0.016 0.00820276934871389
"242" 0.003 0.002 0.005 0.00153434051034973
"243" 0.071 0.064 0.051 0.0565414951018759
"244" 0.014 0.009 0.007 0.00737798744825113
"245" 0.393 0.45 0.436 0.457389189505719
"246" 0.101 0.117 0.102 0.116116096011283
"247" 0.337 0.336 0.378 0.38009160889924
"248" 0.001 0.002 0.003 0.00056257002735427
"249" 0.237 0.241 0.246 0.269937743092624
"250" 0.003 0.006 0.002 0.00215121059568957
"251" 0.001 0 0 6.29147566489907e-05
"252" 0 0.001 0.002 6.36931296144061e-05
"253" 0.019 0.015 0.023 0.0121840575426925
"254" 0.255 0.249 0.244 0.305235209388982
"255" 0.346 0.319 0.319 0.364694429079685
