"A" "B" "P" "BT"
"1" 0 0 0 4.38089111420847e-06
"2" 0 0 0 1.07928217474296e-08
"3" 0 0 0 3.40318773162096e-10
"4" 0 0 0 3.36638402265166e-07
"5" 0 0 0 6.64436097808085e-07
"6" 0 0 0 3.26415616758169e-09
"7" 0 0 0 1.69185804654859e-06
"8" 0 0 0 1.63166096511791e-06
"9" 0 0 0 5.59506631344631e-05
"10" 0 0 0 7.6468249510242e-09
"11" 0 0 0 6.19815310187732e-12
"12" 0 0 0 5.47139040740774e-08
"13" 0 0 0 2.36234479900066e-06
"14" 0 0 0 6.45855711134402e-08
"15" 0 0 0 7.68740525680656e-08
"16" 0 0 0 5.63660513819286e-08
"17" 0 0 0 1.4866830079896e-05
"18" 0 0 0 7.68605623591156e-10
"19" 0 0 0 4.54301896102294e-09
"20" 0 0 0 2.12119211084882e-11
"21" 0.001 0 0 9.74790843560891e-05
"22" 0 0 0 4.87294982143283e-10
"23" 0 0 0 4.33035851621355e-08
"24" 0 0.001 0 8.99781338237204e-06
"25" 0 0 0 1.58561175300775e-09
"26" 0 0 0 9.63746860094261e-11
"27" 0 0 0 8.11336222650283e-07
"28" 0 0 0 2.9153346403632e-12
"29" 0 0 0 1.82877989307606e-07
"30" 0 0 0 7.75157715793284e-11
"31" 0 0 0 1.80390292370269e-07
"32" 0 0 0 4.17408019259824e-09
"33" 0 0 0 7.01871893937778e-12
"34" 0 0 0 5.44369181953996e-08
"35" 0 0 0 1.18160836670711e-09
"36" 0 0 0 4.58329318941963e-09
"37" 0 0 0 1.06989959836046e-06
"38" 0 0 0 4.18354492159878e-08
"39" 0.001 0 0 5.34234837314962e-05
"40" 0 0 0 1.2546511163336e-08
"41" 0 0 0 1.96684571629469e-07
"42" 0.003 0.002 0.001 0.000944131843665263
"43" 0 0 0 9.90673730827396e-08
"44" 0 0 0 3.15735490297175e-06
"45" 0 0 0 2.35566108452989e-06
"46" 0 0 0 8.11954522506042e-08
"47" 0 0 0 5.90104339071029e-06
"48" 0 0 0 1.63920818655461e-05
"49" 0 0 0 6.20699526110435e-07
"50" 0 0 0 3.57040129461694e-07
"51" 0 0 0 8.49469780184187e-07
"52" 0.001 0 0 1.85629339799487e-06
"53" 0 0 0 2.59316024209255e-08
"54" 0 0 0 3.11053545655193e-05
"55" 0 0 0 4.9643178456904e-10
"56" 0 0 0 1.04018904600878e-10
"57" 0 0 0 9.48404946798931e-08
"58" 0 0 0 2.43821086454155e-06
"59" 0 0 0 1.30820023702682e-08
"60" 0 0 0 1.98143428886688e-07
"61" 0 0 0 7.76288399551017e-06
"62" 0 0 0 2.52681694457024e-08
"63" 0 0 0 1.33286714998349e-11
"64" 0 0 0 1.92142080024382e-09
"65" 0 0 0 5.34792334416778e-07
"66" 0 0 0 5.13589171191597e-13
"67" 0 0.001 0 1.36656061229257e-05
"68" 0 0 0 5.27086453439018e-06
"69" 0 0 0 2.67035431877893e-07
"70" 0 0 0 5.19255996311863e-06
"71" 0 0 0 5.6183735441806e-10
"72" 0 0 0 1.29906421619808e-07
"73" 0 0 0 1.49819826544828e-08
"74" 0 0 0 0
"75" 0 0 0 5.96768756633281e-08
"76" 0 0 0 2.79846052753108e-06
"77" 0 0 0 1.79697747793028e-08
"78" 0 0 0 4.63456913430971e-05
"79" 0 0 0 4.52874193701547e-08
"80" 0 0 0 3.6288215178315e-06
"81" 0 0 0 1.15224146890469e-08
"82" 0 0 0 4.98778796043098e-12
"83" 0 0.001 0 0.000122246712145002
"84" 0 0 0 4.15040149803758e-07
"85" 0 0 0 5.11792790769405e-06
"86" 0 0 0 7.31836813372411e-12
"87" 0 0 0 1.26264093625039e-08
"88" 0 0 0 5.10893771732412e-10
"89" 0 0 0 5.65830604593032e-10
"90" 0 0 0 5.79405675915634e-06
"91" 0 0 0 1.78510439552415e-06
"92" 0 0 0 1.12640230476302e-10
"93" 0 0 0 9.05830965791665e-13
"94" 0 0 0 5.24566756809897e-07
"95" 0 0 0 0
"96" 0 0 0 6.41627861952543e-11
"97" 0 0 0 1.8333717943797e-07
"98" 0 0 0 4.39914771277472e-12
"99" 0 0 0 1.38737511479192e-08
"100" 0.001 0 0 4.58550095545629e-05
"101" 0 0 0 6.21350904062012e-09
"102" 0 0 0 2.34207875315917e-10
"103" 0 0 0 6.69587047918974e-07
"104" 0 0 0 1.68865621652525e-06
"105" 0 0 0 4.61507645432846e-08
"106" 0 0 0 1.77958642044729e-07
"107" 0.001 0 0 5.13808536606319e-07
"108" 0 0 0 1.30018218413852e-12
"109" 0 0 0 5.86110060485368e-09
"110" 0 0 0 1.20800811154176e-06
"111" 0 0 0 6.50387443945633e-06
"112" 0 0 0 1.1053947535089e-08
"113" 0 0 0 8.95294949287972e-12
"114" 0 0 0 1.37997457905215e-09
"115" 0 0 0 1.44372973145401e-05
"116" 0 0 0 8.24534418519818e-09
"117" 0 0 0 1.28479227257117e-10
"118" 0 0 0 1.14784726168438e-09
"119" 0 0 0 3.39318573239211e-11
"120" 0 0 0 9.38861264287993e-08
"121" 0 0 0 3.41371557510683e-06
"122" 0 0 0 1.89086031499031e-07
"123" 0 0 0 1.73467018278473e-05
"124" 0 0 0 9.58778603177279e-08
"125" 0 0 0 4.84195683547739e-10
"126" 0 0 0 1.34430477705116e-06
"127" 0 0 0 1.94452512980448e-08
"128" 0 0 0 5.89999080702341e-08
"129" 0 0 0 1.45020789488193e-07
"130" 0 0 0 1.9032845754996e-07
"131" 0 0 0 5.47648927540223e-07
"132" 0 0 0 6.51197264001091e-06
"133" 0 0 0 8.31729681793902e-08
"134" 0 0 0 1.24328469408574e-06
"135" 0 0 0 3.11878300962576e-11
"136" 0 0 0 8.4885070750218e-08
"137" 0 0 0 1.32103223704494e-06
"138" 0 0 0 2.85798949950511e-07
"139" 0 0 0 3.73419661858776e-09
"140" 0 0 0 8.88999984738348e-12
"141" 0 0 0 9.6862406984144e-11
"142" 0 0 0 2.68140902814906e-08
"143" 0 0 0 5.07965291496326e-07
"144" 0 0 0 4.65277927297336e-10
"145" 0 0 0 3.297363449839e-06
