"A" "B" "P" "BT"
"1" 0.145 0.16 0.146 0.182928932844883
"2" 0.004 0.001 0.001 0.00101003222173313
"3" 0.001 0 0.002 4.01834383970678e-05
"4" 0.034 0.045 0.034 0.0306596135980153
"5" 0.105 0.123 0.115 0.117229406734843
"6" 0.001 0.001 0 0.000516903762012411
"7" 0.191 0.184 0.202 0.216236477100646
"8" 0.011 0.003 0.011 0.00756062044086658
"9" 0.036 0.038 0.037 0.0333644168090669
"10" 0.08 0.087 0.082 0.0872869292721361
"11" 0 0 0 6.83231824438746e-06
"12" 0.025 0.029 0.033 0.0272948256331551
"13" 0 0 0 4.59451280121481e-05
"14" 0.001 0 0.001 4.32162959049798e-05
"15" 0.144 0.142 0.146 0.15670411525744
"16" 0.104 0.111 0.119 0.111557411113566
"17" 0.009 0.013 0.017 0.00751319551657526
"18" 0 0 0 1.3918179875172e-05
"19" 0 0 0 9.86826802384932e-07
"20" 0.001 0.004 0.004 0.000720689460072754
"21" 0.005 0.006 0.005 0.00131109090315618
"22" 0 0 0.001 5.78319678334882e-06
"23" 0 0.002 0 0.000488193312673357
"24" 0 0 0.001 5.17422846445514e-05
"25" 0.553 0.572 0.564 0.559608386373842
"26" 0.002 0.001 0.006 0.00164710832515025
"27" 0 0 0.001 0.000100256825292799
"28" 0 0 0 2.5715959434125e-06
"29" 0.005 0.005 0.005 0.00277989107926113
"30" 0 0 0 1.01552535303195e-06
"31" 0 0 0 7.38917465659128e-07
"32" 0.152 0.158 0.125 0.181421497119913
"33" 0.03 0.033 0.035 0.0300123411020253
"34" 0.006 0.007 0.005 0.00238787878884694
"35" 0 0 0 4.2392755972287e-10
"36" 0.069 0.052 0.065 0.0557851266287661
"37" 0.052 0.055 0.071 0.0497138759289456
"38" 0.376 0.388 0.406 0.423013471031994
"39" 0 0 0 7.21701659308627e-05
"40" 0.001 0.008 0.005 0.00633452081200259
"41" 0.012 0.023 0.028 0.0158119878222522
"42" 0.008 0.002 0.004 0.00267021867863249
"43" 0.003 0.002 0.005 0.0018779182176093
"44" 0 0 0 4.70566763777214e-07
"45" 0.052 0.04 0.059 0.0515328998467379
"46" 0.016 0.007 0.013 0.00837444109030749
"47" 0 0 0 2.23813369837345e-07
"48" 0 0 0 3.91195050775117e-06
"49" 0 0 0.003 0.000765811753473011
"50" 0.004 0.004 0.007 0.00346473524802615
"51" 0.36 0.385 0.371 0.405376958197273
"52" 0.004 0 0.001 0.000548618605025197
"53" 0.066 0.055 0.062 0.0586788316735912
"54" 0.061 0.052 0.065 0.069969714961296
"55" 0.004 0.001 0.008 0.00206239395806085
"56" 0.101 0.093 0.073 0.0944369820520745
"57" 0.002 0.007 0.001 0.00222930682223443
"58" 0.001 0 0.001 6.95035580788872e-05
"59" 0.088 0.087 0.105 0.110253336895258
"60" 0.036 0.042 0.027 0.030755427277396
"61" 0.263 0.249 0.241 0.270784344044645
"62" 0.081 0.07 0.077 0.0726544553451557
"63" 0.003 0.002 0.009 0.00104755554354408
"64" 0.022 0.033 0.027 0.0225031911026773
"65" 0.003 0 0 7.9185655755043e-05
"66" 0.006 0.005 0.005 0.0034765198784128
"67" 0.483 0.507 0.523 0.521484796048375
"68" 0.004 0.003 0.002 0.000640467391180288
"69" 0.104 0.107 0.1 0.117352114233422
"70" 0.001 0 0.006 0.000410471900306297
"71" 0.028 0.026 0.039 0.0288554176718258
"72" 0.031 0.034 0.039 0.0316292055912343
"73" 0.002 0.002 0.003 0.00155075456776232
"74" 0.01 0.008 0.005 0.00594410167721793
"75" 0.002 0 0.002 0.000431042595816278
"76" 0 0.001 0 1.65471144759621e-05
"77" 0.236 0.251 0.246 0.273787982334426
"78" 0.003 0.003 0.004 0.00112251970370647
"79" 0.025 0.02 0.027 0.0185429897672991
"80" 0.173 0.164 0.182 0.20182937773496
"81" 0 0.001 0.002 0.000798803761131839
"82" 0.24 0.275 0.233 0.298231754391721
"83" 0 0 0 4.05814002741867e-05
"84" 0.002 0.003 0.003 0.000442784625596992
"85" 0.011 0.012 0.015 0.00841460798320459
"86" 0.107 0.111 0.13 0.147054680813627
"87" 0 0.002 0.002 0.000298742188142853
"88" 0.03 0.036 0.017 0.022674431811429
"89" 0.003 0.001 0.006 0.000542942141376068
"90" 0.017 0.027 0.017 0.011889126422682
"91" 0.043 0.038 0.036 0.0383714733544264
"92" 0 0 0 3.26849712650734e-06
"93" 0 0 0 1.30537765107297e-05
"94" 0 0 0 1.8279454616632e-09
"95" 0.009 0.007 0.011 0.00418699477107609
"96" 0 0 0 2.02770945811892e-07
"97" 0.043 0.041 0.057 0.0359198468015759
"98" 0.003 0.009 0.004 0.00422831981935801
"99" 0.001 0.004 0.001 0.000280376461441412
"100" 0.001 0.001 0.001 0.000103686427688432
"101" 0.005 0.006 0.01 0.00415979055928961
"102" 0.054 0.051 0.058 0.0557778716941481
"103" 0 0 0 6.25626050965167e-09
"104" 0.196 0.178 0.182 0.193934472559906
"105" 0.006 0.005 0.003 0.00246092015818122
"106" 0 0 0 8.79421380162171e-09
"107" 0 0.002 0.001 0.000646215762113433
"108" 0.005 0.009 0.009 0.00484372376307796
"109" 0.013 0.008 0.02 0.0087236285871588
"110" 0.064 0.049 0.052 0.058311963626595
"111" 0.01 0.007 0.009 0.00334154165965395
"112" 0.001 0 0.002 0.000212482956920779
"113" 0.017 0.012 0.019 0.0138679195681145
"114" 0.11 0.106 0.096 0.116777356361139
"115" 0.006 0.005 0.004 0.00168194160183943
"116" 0 0 0 2.00509744774369e-06
"117" 0.001 0 0.001 0.00020227612876822
"118" 0.008 0.012 0.01 0.0075092611868961
"119" 0.035 0.032 0.04 0.0288245237680564
"120" 0.104 0.093 0.107 0.11316936999767
"121" 0 0 0 7.37521155258491e-13
"122" 0.025 0.028 0.027 0.0195071917984442
"123" 0 0 0.001 5.01921602179545e-05
"124" 0.001 0.005 0.006 0.00101357699759463
"125" 0 0 0 1.75583667161305e-07
"126" 0.001 0.003 0.006 0.000375870884977703
"127" 0.002 0 0.004 0.000225256238606142
"128" 0.042 0.041 0.042 0.0447349770858626
"129" 0.006 0.005 0.009 0.00516924780354733
"130" 0.001 0.002 0.001 0.000175315767279138
"131" 0.001 0.001 0.002 0.000694370735600303
"132" 0 0 0 6.58148084364818e-07
"133" 0 0.001 0 0.000820459534405238
"134" 0.038 0.021 0.039 0.0312147864718522
"135" 0.001 0 0.001 0.000139546546352953
"136" 0 0 0 2.10047708968375e-05
"137" 0 0 0 0
"138" 0.025 0.018 0.02 0.0204452182975332
"139" 0.575 0.608 0.598 0.600254807957926
"140" 0 0 0 4.97447616432112e-09
"141" 0 0 0 3.75980176409163e-05
"142" 0.003 0.002 0.006 0.00186175787906351
"143" 0 0 0 6.2772309572523e-09
"144" 0.006 0.01 0.016 0.00471640359883352
"145" 0.083 0.081 0.075 0.0924906567288091
"146" 0.477 0.474 0.468 0.500847801579848
"147" 0.002 0 0.002 0.00020378309968716
"148" 0.006 0.015 0.005 0.00473251734979563
"149" 0 0.001 0.001 7.9386944294435e-05
"150" 0 0 0.001 0.000193321236877764
"151" 0.023 0.029 0.032 0.0301724167256019
"152" 0.013 0.01 0.02 0.0102774636983074
"153" 0.012 0.007 0.009 0.00534943437764501
"154" 0.314 0.329 0.325 0.354120793083057
"155" 0 0 0 3.50175662644503e-06
"156" 0.017 0.01 0.014 0.00906830951275039
"157" 0 0.003 0 0.000648790603868465
"158" 0 0 0 6.44674279431934e-05
"159" 0.008 0.011 0.009 0.00681653395124704
"160" 0.011 0.007 0.008 0.00485284268064723
"161" 0 0 0.001 5.00800967584425e-07
"162" 0.014 0.014 0.019 0.0160395180745853
"163" 0.01 0.007 0.004 0.00190344243046792
"164" 0.047 0.05 0.038 0.0401377738012026
"165" 0.03 0.048 0.04 0.0331395013325037
"166" 0.021 0.02 0.016 0.0161231675991697
"167" 0.133 0.128 0.139 0.141197592834046
"168" 0.162 0.17 0.152 0.176071551126424
"169" 0.004 0.004 0.002 0.00125345620178774
"170" 0.02 0.018 0.01 0.00971310878907095
"171" 0.001 0.002 0.001 0.00134172933299892
"172" 0.147 0.139 0.154 0.164317617996634
"173" 0 0.001 0.002 0.000214088681386282
"174" 0 0.002 0.001 0.000186334254354659
"175" 0.011 0.004 0.008 0.00391139129056972
"176" 0.177 0.159 0.189 0.187530060039602
"177" 0 0.002 0.005 0.000712408629287897
"178" 0.014 0.009 0.011 0.00758390499647443
"179" 0 0.002 0 0.000115982776765944
"180" 0.116 0.122 0.099 0.114158618841976
"181" 0.004 0.004 0.003 0.00161055548386813
"182" 0.079 0.089 0.098 0.0927409958499557
"183" 0 0 0 1.07347453148776e-09
"184" 0.002 0 0.001 0.000165932560564519
"185" 0.016 0.014 0.02 0.0105623852118253
"186" 0.248 0.256 0.264 0.277468910323837
"187" 0.001 0.001 0.001 5.24392609526636e-05
"188" 0.026 0.027 0.026 0.0235889424369652
"189" 0.001 0.002 0.003 0.000835189062687425
"190" 0.001 0.001 0.004 0.00073238004125209
"191" 0.068 0.079 0.055 0.0748036105440059
"192" 0.08 0.093 0.072 0.0782671393232909
"193" 0.015 0.016 0.017 0.0117635138675596
"194" 0.077 0.072 0.081 0.0777003827970566
"195" 0 0 0.003 0.000628998155662086
"196" 0.018 0.011 0.022 0.0100698087149692
"197" 0.015 0.019 0.014 0.0094510879236348
"198" 0 0 0.002 1.54728047403463e-05
"199" 0.001 0 0 1.31513697587682e-05
"200" 0.079 0.092 0.077 0.0873725986228795
"201" 0.027 0.035 0.03 0.0277090839945229
"202" 0.018 0.02 0.026 0.0148895419639704
"203" 0.061 0.063 0.043 0.0663821519059697
"204" 0.003 0.007 0.008 0.00137895366339802
"205" 0.005 0.007 0.003 0.00255466895727419
"206" 0.004 0.006 0.004 0.00229650702188366
"207" 0.049 0.05 0.051 0.0444978252734274
"208" 0.001 0 0 1.6408978236071e-05
"209" 0 0 0 2.22433712115944e-07
"210" 0.034 0.027 0.039 0.0289561227938678
"211" 0 0 0 0.000105601661792742
"212" 0.004 0.001 0.004 0.0017974840236018
"213" 0.028 0.04 0.024 0.0353504309320544
"214" 0.034 0.031 0.04 0.0274272902086993
"215" 0.075 0.067 0.075 0.0722297643201389
"216" 0.002 0.002 0.005 0.00105838830987626
"217" 0.076 0.075 0.096 0.0847224683360039
"218" 0 0 0 1.86940907198618e-10
"219" 0 0 0.001 1.86341242991439e-07
"220" 0.094 0.092 0.108 0.104868239706624
"221" 0 0.001 0.002 5.39953530289683e-05
"222" 0 0 0 1.12768582249956e-08
"223" 0 0 0 6.40424530296002e-07
"224" 0.001 0.001 0.001 0.0001171211681672
"225" 0.002 0.002 0.003 0.00318478086969709
"226" 0.01 0.009 0.009 0.00443021422041079
"227" 0.007 0.003 0 0.00230268088118568
"228" 0.018 0.016 0.021 0.0134095794407536
"229" 0 0.001 0 5.3088175777094e-05
"230" 0.087 0.094 0.096 0.103837787152149
"231" 0.008 0.009 0.006 0.00405536209736113
"232" 0.391 0.428 0.412 0.452892780172372
"233" 0.005 0.011 0.011 0.00666607627926674
"234" 0.001 0.001 0.004 0.000511474178237936
"235" 0.001 0.003 0 0.000164153819361745
"236" 0.012 0.011 0.022 0.0135876313066795
"237" 0.032 0.033 0.028 0.0266997569850361
"238" 0.007 0.003 0.007 0.00406877619881074
"239" 0.048 0.039 0.053 0.0439424723477586
"240" 0.614 0.637 0.667 0.64172174461568
"241" 0 0 0 2.87688705826739e-05
"242" 0 0 0 1.29747476651509e-06
"243" 0 0 0 7.24148223607557e-08
"244" 0.006 0.008 0.011 0.00470503958892332
"245" 0 0 0 4.86098171159632e-07
"246" 0.001 0 0 4.15376230966658e-07
"247" 0.539 0.515 0.532 0.536075255263166
"248" 0.392 0.363 0.389 0.419594280357255
"249" 0.002 0.003 0.004 0.00129278777400521
"250" 0 0 0 4.89396103309225e-07
"251" 0.067 0.07 0.065 0.0655165998363088
"252" 0.001 0 0.003 4.5880901642259e-05
"253" 0.263 0.273 0.268 0.293696719394481
"254" 0.008 0.003 0.014 0.00416715151335434
"255" 0 0 0 3.31185715063409e-06
"256" 0 0 0 4.07433878535368e-06
"257" 0.002 0 0 4.09050315235415e-05
