"A" "B" "P" "BT"
"1" 0.001 0.007 0.003 0.00185074080742864
"2" 0 0 0 2.05602882497047e-08
"3" 0.001 0.001 0.001 0.000130988780329688
"4" 0.004 0.009 0.008 0.00220162673763091
"5" 0.002 0.002 0 0.00026324931762034
"6" 0 0.001 0 4.34032544186502e-05
"7" 0.004 0.003 0.003 0.00134425222176648
"8" 0.406 0.428 0.401 0.437803476449451
"9" 0.001 0.001 0 9.9852600524919e-05
"10" 0.015 0.023 0.012 0.00987541350595877
"11" 0.014 0.011 0.018 0.0113394057966399
"12" 0.018 0.018 0.022 0.0162469679737277
"13" 0.001 0.002 0.003 0.000511949107254162
"14" 0.203 0.19 0.157 0.201940258243955
"15" 0.001 0.003 0 0.000550323000565456
"16" 0.092 0.092 0.105 0.0909709647858242
"17" 0 0 0.001 1.6945661251988e-06
"18" 0.001 0.003 0.004 0.000883933136812343
"19" 0 0 0.002 3.2384371122296e-05
"20" 0.22 0.218 0.215 0.268616592416564
"21" 0.114 0.119 0.115 0.123577741237812
"22" 0.001 0.003 0 0.000714469946442198
"23" 0 0 0.002 1.94940084522477e-05
"24" 0.001 0 0.001 0.000232306725406639
"25" 0.005 0.01 0.01 0.00622568581635563
"26" 0 0 0.002 5.35047539879097e-05
"27" 0.012 0.012 0.009 0.00558097127981383
"28" 0.002 0.002 0.001 5.39789709921301e-05
"29" 0.028 0.015 0.024 0.0162154823657245
"30" 0.034 0.029 0.028 0.0229533916541323
"31" 0.002 0.001 0.001 0.000517456302542296
"32" 0.002 0.006 0.004 0.00352191726636253
"33" 0.001 0.001 0 0.000205152571285838
"34" 0.004 0.002 0.005 0.00113095649407302
"35" 0 0 0 3.77888898506207e-07
"36" 0.01 0.009 0.011 0.00617416883957556
"37" 0.003 0 0 3.83837975458379e-05
"38" 0.002 0.001 0.007 0.00105896813481543
"39" 0.033 0.024 0.028 0.0233337534341223
"40" 0.006 0.002 0.003 0.00116303624136993
"41" 0.025 0.021 0.015 0.0146695331217673
"42" 0.001 0.003 0.003 0.00100876586993792
"43" 0 0 0.001 0.000143740281425053
"44" 0.014 0.016 0.013 0.0114005645183343
"45" 0.004 0.005 0.008 0.00209887845025714
"46" 0 0 0 1.63566308186702e-06
"47" 0.06 0.066 0.075 0.0672418955818774
"48" 0.023 0.023 0.032 0.0267993810924322
"49" 0 0 0 4.30751578739397e-07
"50" 0.018 0.019 0.017 0.0154392517632606
"51" 0 0 0.005 0.000326463258144338
"52" 0.052 0.05 0.071 0.0596378992328752
"53" 0 0 0 2.07836437230435e-05
"54" 0 0 0 2.57039257334224e-06
"55" 0.025 0.015 0.023 0.0147750091377368
"56" 0 0 0.002 8.18303008309762e-06
"57" 0.001 0.003 0.002 0.000818693499344492
"58" 0.001 0.001 0 0.000162241081647418
"59" 0.004 0.003 0.003 0.00127860308297456
"60" 0.032 0.024 0.021 0.0178314142149602
"61" 0.019 0.015 0.023 0.0151801364031281
"62" 0.004 0.007 0.006 0.00286805102845922
"63" 0.021 0.01 0.007 0.00867184415176081
"64" 0.294 0.316 0.302 0.343531975024809
"65" 0.042 0.038 0.044 0.0343769354776718
"66" 0.021 0.019 0.024 0.0167733255753852
"67" 0 0 0 2.71794856621099e-08
"68" 0.002 0.001 0.002 0.000454303372535714
"69" 0.001 0 0 0.000217628225815503
"70" 0.002 0.004 0.005 0.00165794164287392
"71" 0.259 0.257 0.24 0.282531916333254
"72" 0.009 0.014 0.011 0.00699776319894563
"73" 0.003 0.005 0.011 0.00367850867469044
"74" 0.002 0.003 0.003 0.000500873366999111
"75" 0.025 0.019 0.02 0.0162754976691772
"76" 0.009 0.017 0.011 0.0108789399660213
"77" 0.011 0.013 0.016 0.0121859878596087
"78" 0 0 0 4.24068045916659e-05
"79" 0.003 0.005 0.009 0.00443089998895385
"80" 0.002 0.008 0.012 0.00431794341788128
"81" 0 0 0 6.74484964546807e-08
"82" 0.01 0.003 0.009 0.00405520390573388
"83" 0 0 0 9.39464190885531e-08
"84" 0.025 0.015 0.022 0.020234429720107
"85" 0 0 0 6.23084171225141e-06
"86" 0.021 0.016 0.02 0.0139597434991193
"87" 0.076 0.059 0.082 0.070213114428337
"88" 0.002 0.001 0.004 0.00101492603451236
"89" 0 0 0 8.81399933039262e-08
"90" 0.023 0.018 0.019 0.0161721862604911
"91" 0.125 0.119 0.098 0.126910163295535
"92" 0.033 0.018 0.019 0.0202837621322443
"93" 0.012 0.014 0.014 0.011105451686139
"94" 0.079 0.092 0.096 0.0884940017914038
"95" 0 0 0 2.81103806898386e-10
"96" 0 0 0 1.52285422050369e-08
"97" 0.064 0.069 0.071 0.0691172305951457
"98" 0 0 0 4.09404290602211e-06
