"A" "B" "P" "BT"
"143" 0.001 0 0 0.00015499286636933
"144" 0 0 0 0.000245858383452369
"145" 0.001 0 0.001 1.28973830756385e-05
"146" 0 0 0 9.29595499021829e-06
"147" 0.002 0 0 0.000156617343402332
"148" 0.001 0.001 0.001 0.000238435644588031
"149" 0 0 0 3.53512618067597e-08
"150" 0 0.001 0 1.42577675414923e-05
"151" 0 0 0.001 0.000375922126408912
"152" 0 0 0 4.33111937536701e-07
"153" 0.003 0.005 0.002 0.00170759263781861
"154" 0.004 0.004 0 0.000915734369600574
"155" 0 0.004 0 0.000949735473633972
"156" 0 0 0 9.51346967092981e-07
"157" 0 0 0 3.59116912598267e-05
"158" 0 0.001 0 3.93595911796218e-06
"159" 0.003 0.003 0 0.00101365859322433
"160" 0.002 0.002 0.001 0.000352692946653854
"161" 0 0 0 1.2252011796221e-05
"162" 0 0.001 0 2.02657153922647e-05
"163" 0 0.001 0 0.000676242147588546
"164" 0.005 0.002 0.002 0.00041235706791054
"165" 0.004 0.004 0.006 0.00310303343631746
"166" 0.001 0.002 0 0.000335290758270657
"167" 0.007 0.002 0.004 0.00350153114883212
"168" 0.004 0.003 0.003 0.00139121268395859
"169" 0.001 0.002 0 0.000210695488030765
"170" 0 0.001 0 2.13182352589714e-05
"171" 0 0 0 4.59304100470792e-05
"172" 0 0 0 2.21675669387356e-06
"173" 0 0.003 0 0.000583810909893234
"174" 0.001 0.001 0.001 0.00018064129723605
"175" 0.002 0.002 0.001 0.00062948087757253
"176" 0 0 0 2.34620945338548e-07
"177" 0.002 0.002 0 0.000471814951359728
"178" 0.013 0.019 0.016 0.0174870702094522
"179" 0.003 0.001 0 0.000438603672856419
"180" 0.003 0.001 0.001 0.000789041279831815
"181" 0 0 0 7.32049444751581e-05
"182" 0.001 0.002 0 8.85545191667836e-05
"183" 0 0 0 1.88433472159133e-08
"184" 0 0 0 4.90267108799181e-07
"185" 0 0 0 3.1905818784761e-06
"186" 0 0 0 4.27973459282693e-06
"187" 0 0 0 8.79530560604636e-08
"188" 0 0 0 1.087626715357e-07
"189" 0 0 0 4.60901010246317e-07
"190" 0 0 0 3.85396105584412e-07
"191" 0 0 0 2.22305834074454e-07
"192" 0.001 0 0 0.000272321561583966
"193" 0 0 0 7.61790482772806e-06
"194" 0 0 0 0.000272371886187783
"195" 0 0.001 0 0.000109004249634226
"196" 0.006 0.006 0.001 0.00257161795707428
"197" 0 0.004 0 0.000295392015705276
"198" 0 0 0 2.2056838294704e-06
"199" 0.001 0.001 0.001 0.000335191459222228
"200" 0 0 0 7.47515719767833e-07
"201" 0 0 0 0.000175778115720004
"202" 0.001 0.001 0.001 0.000972855910442272
"203" 0.002 0.002 0 0.000833937360650294
"204" 0.001 0.001 0 0.000109558019482536
"205" 0.001 0.001 0.001 0.000125981248838558
"206" 0 0 0 4.10352814805837e-06
"207" 0 0.001 0.001 0.000348663351210754
"208" 0.003 0.002 0 0.000464547815719363
"209" 0 0 0 5.84523441538032e-07
"210" 0 0.001 0 5.57091539377108e-06
"211" 0.004 0.005 0.003 0.00361130040812674
"212" 0.002 0.001 0.001 0.000179959933792828
"213" 0 0 0 3.61683577787542e-06
"214" 0.002 0.005 0.001 0.000724133974013053
"215" 0.001 0.002 0 9.18488933858708e-05
"216" 0 0.001 0.002 0.00154911330184337
"217" 0.002 0.004 0.001 0.00188484785416587
"218" 0 0 0 1.26564891900216e-09
"219" 0.005 0.004 0 0.000643269038399841
"220" 0.001 0 0 0.000163253605458102
"221" 0 0 0 1.67890371446378e-05
"222" 0 0 0 3.7705366806029e-05
"223" 0 0 0 9.16300814557403e-07
"224" 0.003 0.007 0 0.000787751248836455
"225" 0 0 0 1.67858971167334e-09
"226" 0 0 0 4.65940176822555e-05
"227" 0.016 0.012 0.009 0.00802998692070955
"228" 0.014 0.012 0.012 0.0116851900462069
"229" 0 0.004 0.003 0.000584590897444115
"230" 0 0.001 0 1.49387091389341e-05
"231" 0 0 0 1.56707285181579e-06
"232" 0.001 0.001 0.001 0.000458831771834922
"233" 0 0 0 7.10185660823814e-06
"234" 0 0.001 0 0.000366946217267738
"235" 0.001 0 0 4.26595121719719e-05
"236" 0 0 0 3.62048263617964e-05
