"A" "B" "P" "BT"
"1" 0.031 0.031 0.033 0.0289252470582673
"2" 0 0 0 1.02194143817291e-05
"3" 0.048 0.051 0.044 0.0537651269598923
"4" 0.016 0.01 0.02 0.0096312588250691
"5" 0 0 0 3.93744786051364e-05
"6" 0.005 0.005 0.001 0.00201766802689229
"7" 0.002 0.002 0.003 0.0004892344159656
"8" 0.007 0.003 0.003 0.00100098052923825
"9" 0.049 0.055 0.048 0.0484222274838219
"10" 0 0.001 0.002 0.000449871788021583
"11" 0.004 0.002 0.004 0.000654155675988477
"12" 0.001 0.005 0.009 0.000686326775504953
"13" 0.006 0.003 0.005 0.00238203254811264
"14" 0 0 0 9.735545702938e-12
"15" 0 0.001 0 9.07141068816619e-05
"16" 0 0 0 5.33833882654378e-08
"17" 0.002 0.002 0.003 0.000640706327743379
"18" 0.12 0.122 0.121 0.131817176065239
"19" 0 0 0 1.84385866131009e-07
"20" 0.004 0 0.003 0.00106215994698644
"21" 0.003 0.002 0.002 0.00135857558130481
"22" 0.001 0.005 0 0.00067496913632803
"23" 0.015 0.012 0.015 0.0137375294260702
"24" 0 0 0 5.2563509100878e-12
"25" 0.001 0 0.001 5.92297614775417e-05
"26" 0.001 0.001 0.003 0.000637932938335695
"27" 0.005 0.006 0.005 0.00168635682144169
"28" 0.001 0.001 0.002 3.40402847599508e-05
"29" 0.02 0.035 0.039 0.0245069202345848
"30" 0 0 0.002 7.34028156923472e-05
"31" 0.003 0.007 0.012 0.0049634896956271
"32" 0.001 0.001 0.01 0.000410733533222185
"33" 0 0.001 0 1.12937948583136e-05
"34" 0.126 0.12 0.139 0.14796125206335
"35" 0 0.001 0 7.4149195067319e-06
"36" 0.094 0.077 0.074 0.0828813772241377
"37" 0.366 0.387 0.369 0.400170032931323
"38" 0 0 0 1.8406414892258e-06
"39" 0.006 0.009 0.011 0.00775317083391935
"40" 0 0 0 8.59420780874309e-07
"41" 0.109 0.118 0.128 0.134947909962227
"42" 0.001 0 0.001 1.50946832933041e-06
"43" 0.008 0.003 0.004 0.00247812663216285
"44" 0.007 0.004 0.003 0.00111899204077615
"45" 0 0.001 0.001 0.000497270442281428
"46" 0.159 0.151 0.157 0.172053129486026
"47" 0.024 0.028 0.033 0.0253313557803129
"48" 0 0 0 2.62964468344951e-06
"49" 0 0 0 1.12490039527735e-06
"50" 0.019 0.022 0.018 0.020096558610126
"51" 0 0 0 2.04309091866861e-09
"52" 0 0 0 1.97130958223823e-07
"53" 0.155 0.174 0.182 0.192008238618505
"54" 0.024 0.02 0.028 0.0212774767540661
"55" 0.008 0.004 0.004 0.0014146140562733
"56" 0 0 0 4.25259862264493e-05
"57" 0 0 0 6.54012166645401e-09
"58" 0 0 0.002 2.60455093483714e-05
"59" 0.002 0 0.002 0.000170299321809786
"60" 0.042 0.038 0.041 0.041467699988597
"61" 0.172 0.185 0.176 0.198925386609837
"62" 0.037 0.039 0.036 0.044211857334981
"63" 0.003 0.007 0.005 0.00180289401843936
"64" 0.011 0.013 0.018 0.00879120016074975
"65" 0.024 0.019 0.025 0.0165843402909922
"66" 0.001 0.002 0.004 0.000459560933837255
"67" 0.004 0.002 0.001 0.00131497164630257
"68" 0.05 0.04 0.046 0.0515422781093998
"69" 0.007 0.011 0.013 0.00731394520283835
"70" 0 0 0 1.31770698796885e-08
"71" 0.003 0.003 0.003 0.000942403128707081
"72" 0.006 0.008 0.004 0.00312714331830577
