"A" "B" "P" "BT"
"133" 0 0.001 0 6.27401722186338e-06
"134" 0.001 0.002 0.003 0.000772199716392863
"135" 0 0 0 1.44705278981583e-07
"136" 0 0 0 1.79480459772119e-06
"137" 0.001 0.002 0.004 0.00040861467662312
"138" 0.001 0 0.001 5.58698335573204e-06
"139" 0.004 0.002 0 0.000596157238336059
"140" 0.002 0.005 0.007 0.0032747622219591
"141" 0.001 0.002 0.002 0.000502102807421356
"142" 0.001 0 0 2.81137241781027e-05
"143" 0.004 0.005 0.004 0.00241550375889044
"144" 0.006 0.007 0.018 0.00579075820611541
"145" 0.001 0.001 0.001 0.000182483268812761
"146" 0.115 0.129 0.147 0.142728638208592
"147" 0.003 0.001 0.004 0.000453864952898009
"148" 0.522 0.488 0.473 0.50370744123213
"149" 0.01 0.011 0.013 0.00725496874048104
"150" 0.003 0.002 0.009 0.0018201457533662
"151" 0.095 0.073 0.087 0.0838442199986962
"152" 0.092 0.098 0.118 0.105118035681001
"153" 0.006 0.001 0.011 0.00309079785232869
"154" 0.023 0.025 0.035 0.0221936729343289
"155" 0.019 0.024 0.035 0.0231616161368915
"156" 0.006 0.005 0.006 0.00283299348201316
"157" 0.004 0.006 0.005 0.00319771044144557
"158" 0.001 0 0.003 0.000156700008288269
"159" 0.077 0.052 0.069 0.0616958237465193
"160" 0.073 0.099 0.091 0.109222488127454
"161" 0.155 0.167 0.158 0.172566797916106
"162" 0.028 0.022 0.021 0.0203378511036063
"163" 0.421 0.398 0.372 0.440697582269432
"164" 0.012 0.008 0.013 0.00795936656450669
"165" 0 0 0 0.000108836877750429
"166" 0.011 0.009 0.02 0.00633256253552961
"167" 0 0 0 4.26403880426918e-07
"168" 0.021 0.012 0.018 0.0166769232065263
"169" 0.004 0.002 0.005 0.0015583654752801
"170" 0 0 0.002 6.22217228429811e-06
"171" 0.009 0.011 0.015 0.00537736943461409
"172" 0.372 0.375 0.391 0.414579494537938
"173" 0.007 0.007 0.005 0.00515167356082691
"174" 0.186 0.18 0.166 0.204729559093306
"175" 0.001 0 0.001 5.21635480615901e-05
"176" 0.094 0.076 0.085 0.0877772369518256
"177" 0.004 0.007 0.003 0.00242729800947916
"178" 0 0 0 1.33778092894499e-05
"179" 0.084 0.079 0.094 0.107490395748742
"180" 0.027 0.027 0.027 0.0215724433821569
"181" 0.086 0.072 0.085 0.0878751335006702
"182" 0.003 0.005 0.01 0.00295297636906589
"183" 0.364 0.356 0.362 0.394301767217956
"184" 0.092 0.087 0.099 0.115588000830481
"185" 0.335 0.344 0.337 0.363158077421264
"186" 0 0 0 3.06963890051026e-05
"187" 0.002 0 0.003 0.000424445585094246
"188" 0 0.001 0 8.30777595051124e-07
"189" 0.072 0.081 0.078 0.074556171350852
"190" 0.018 0.008 0.014 0.0087831817198416
"191" 0.001 0.001 0 0.000104499726907514
"192" 0.019 0.019 0.019 0.014864779390545
"193" 0.012 0.013 0.013 0.00793401227566781
"194" 0.099 0.106 0.118 0.121102256803479
"195" 0 0.001 0.005 0.000701516375484434
"196" 0.003 0 0.001 0.000143687637794931
"197" 0.006 0.004 0.005 0.00227915308226811
"198" 0.01 0.013 0.02 0.00722530786369369
"199" 0.077 0.08 0.092 0.0879145699172064
"200" 0.024 0.032 0.024 0.0189869075612974
"201" 0.013 0.008 0.016 0.00567067254092302
"202" 0.005 0.005 0.002 0.0020253352215106
"203" 0.006 0.007 0.014 0.00489820795714324
"204" 0.047 0.054 0.05 0.0589855492490212
"205" 0.016 0.022 0.026 0.0161473653614069
"206" 0.257 0.278 0.258 0.287061280448395
"207" 0.02 0.017 0.022 0.0149166821301161
"208" 0.002 0.004 0.004 0.00132514098260217
"209" 0.014 0.014 0.014 0.0077326273485786
"210" 0.026 0.023 0.025 0.0226654401629414
"211" 0.676 0.665 0.702 0.665097459744281
"212" 0.022 0.026 0.024 0.0194574443796763
"213" 0 0 0.001 0.00042871156531088
"214" 0.007 0.009 0.01 0.00588553050915963
"215" 0.001 0.01 0.001 0.00211780719106403
"216" 0.005 0.008 0.012 0.00331822213224708
"217" 0.004 0.003 0.008 0.00220304328886967
"218" 0.005 0.005 0.009 0.00293043250535518
"219" 0.018 0.016 0.027 0.0156325265885933
"220" 0.014 0.021 0.017 0.0112300520651776
"221" 0.028 0.031 0.037 0.0325730076022954
"222" 0.094 0.075 0.103 0.0976451570013808
"223" 0.005 0.011 0.018 0.00552164462182925
"224" 0 0 0 2.37861930152405e-09
"225" 0.094 0.089 0.093 0.102930540801953
"226" 0 0 0 5.66705242177612e-06
