"A" "B" "P" "BT"
"1" 0.044 0.047 0.044 0.0493349172146802
"2" 0.007 0.012 0.008 0.00574144225044448
"3" 0.263 0.284 0.289 0.327768926798961
"4" 0 0 0.001 3.0142294294988e-06
"5" 0.019 0.025 0.023 0.0234520141157786
"6" 0.52 0.525 0.552 0.548817217020348
"7" 0.194 0.194 0.181 0.21528255997253
"8" 0.003 0 0.007 0.000646355568903245
"9" 0.001 0.001 0.003 0.000301046976610042
"10" 0.012 0.016 0.016 0.0107438273860602
"11" 0.089 0.08 0.098 0.0973366199912914
"12" 0.006 0.006 0.01 0.00424338989455797
"13" 0.004 0.004 0.002 0.000404650904915038
"14" 0.077 0.089 0.1 0.0895847335199054
"15" 0.008 0.006 0.009 0.00330586714727032
"16" 0.008 0.005 0.006 0.00420293907606628
"17" 0.002 0.001 0.002 0.000661477197404614
"18" 0.011 0.013 0.023 0.0104173091493653
"19" 0.122 0.134 0.135 0.143795319211901
"20" 0.013 0.013 0.019 0.00920304340802069
"21" 0.026 0.016 0.017 0.0122193046650734
"22" 0.044 0.052 0.038 0.038339038523228
"23" 0.003 0.003 0.008 0.00117438545183157
"24" 0.113 0.11 0.134 0.134696538032822
"25" 0.081 0.083 0.089 0.0918765230906295
"26" 0.015 0.013 0.008 0.0090627446454844
"27" 0.085 0.087 0.096 0.0936646670176267
"28" 0.06 0.059 0.074 0.0640557151713779
"29" 0.009 0.012 0.017 0.0088767743807916
"30" 0.029 0.023 0.035 0.0294951317346417
"31" 0.034 0.039 0.032 0.0384295050871752
"32" 0.003 0.007 0.013 0.003892613468371
"33" 0.027 0.027 0.026 0.0184749985159385
"34" 0.082 0.089 0.093 0.0940657494743633
"35" 0.016 0.009 0.022 0.0106759383642002
"36" 0.489 0.539 0.5 0.518421325733067
"37" 0.001 0.005 0.008 0.00206689675712213
"38" 0.055 0.054 0.05 0.0511612300412241
"39" 0.472 0.486 0.505 0.513074456060155
"40" 0 0 0.001 2.16910995398667e-06
"41" 0.035 0.041 0.057 0.0377365238865334
"42" 0.347 0.34 0.332 0.375707366369768
"43" 0.079 0.095 0.074 0.0834234609400826
"44" 0.215 0.212 0.254 0.263781431004371
"45" 0 0 0.002 0.000181963145904684
"46" 0.393 0.368 0.356 0.411890938813127
"47" 0 0 0 0.000207747741055031
"48" 0.002 0.004 0.004 0.00112192288555502
"49" 0 0.001 0 0.000116623056823029
"50" 0.003 0 0.001 0.000448556209221129
"51" 0.1 0.083 0.099 0.0998811211520362
"52" 0.138 0.123 0.151 0.151252957963907
"53" 0.091 0.116 0.108 0.114063565810589
"54" 0.01 0.011 0.005 0.00370436122795559
"55" 0.003 0.007 0.005 0.00339893271500946
"56" 0.015 0.018 0.013 0.0069094845210631
"57" 0.013 0.012 0.01 0.00608742922469196
"58" 0.001 0.006 0.011 0.00408313544674854
"59" 0.011 0.018 0.016 0.0098382021949367
"60" 0.001 0.002 0.003 0.00025283018490041
"61" 0.086 0.08 0.087 0.0943012479761653
"62" 0 0 0 2.54480061793183e-05
"63" 0.106 0.109 0.126 0.118322651621352
"64" 0.027 0.024 0.027 0.0271130318335866
"65" 0 0 0.002 5.85349721423656e-05
"66" 0.018 0.025 0.027 0.0192450960465729
"67" 0.004 0 0.003 0.00136169503629091
"68" 0.045 0.057 0.058 0.0451004316252217
"69" 0.54 0.54 0.54 0.541979758628704
"70" 0.002 0 0.005 0.000366035514103746
"71" 0 0 0.006 0.000543840604391832
"72" 0.049 0.044 0.045 0.0506089229114504
"73" 0 0.002 0 6.46504807019221e-05
"74" 0.018 0.007 0.016 0.00759267392040242
"75" 0.006 0.007 0.006 0.00292355044523296
"76" 0.043 0.04 0.056 0.0378132137884576
"77" 0.035 0.034 0.029 0.0330283688310745
"78" 0.201 0.193 0.197 0.214517426575083
"79" 0.002 0.001 0.006 0.00204959428568252
"80" 0.001 0.002 0.004 0.000554222394995363
"81" 0.051 0.051 0.041 0.042944498077739
"82" 0.006 0.009 0.012 0.00443321706161148
"83" 0.011 0.008 0.009 0.00754499323250835
"84" 0.173 0.168 0.179 0.205301535459445
