"A" "B" "P" "BT"
"1" 0.16 0.172 0.143 0.19309092440007
"2" 0.164 0.139 0.164 0.170067218913846
"3" 0.62 0.583 0.647 0.619581044199777
"4" 0.144 0.145 0.164 0.170078822951409
"5" 0.54 0.575 0.568 0.566897570153108
"6" 0.466 0.471 0.489 0.490202658084325
"7" 0.039 0.038 0.048 0.0375335927083206
"8" 0.133 0.112 0.129 0.147108457116561
"9" 0.874 0.89 0.888 0.824112053949471
"10" 0.044 0.035 0.026 0.0335438591043657
"11" 0.507 0.481 0.524 0.52055872598355
"12" 0.719 0.692 0.725 0.689391738124782
"13" 0.936 0.937 0.939 0.868820343852242
"14" 0.421 0.425 0.422 0.452244272828227
"15" 0.636 0.625 0.645 0.622424668392884
"16" 0.115 0.108 0.093 0.101769661434807
"17" 0.668 0.69 0.721 0.681839246709205
"18" 0.188 0.199 0.191 0.216391303095975
"19" 0.903 0.888 0.917 0.844820362190203
"20" 0.773 0.756 0.779 0.741285073990545
"21" 0.855 0.85 0.883 0.823268183627706
"22" 0.595 0.609 0.627 0.600244398412231
"23" 0.807 0.802 0.844 0.78131931703225
"24" 0.123 0.114 0.118 0.127828947415816
"25" 0.626 0.601 0.623 0.610402743113573
"26" 0.256 0.231 0.244 0.268249652024377
"27" 0.629 0.673 0.647 0.639970368801133
"28" 0.73 0.748 0.762 0.717558856665075
"29" 0.535 0.513 0.515 0.531362694138313
"30" 0.696 0.699 0.736 0.686122760673284
"31" 0.483 0.527 0.503 0.528669315342444
"32" 0.32 0.351 0.377 0.358475514822644
"33" 0.591 0.606 0.617 0.616232106204428
"34" 0.049 0.064 0.05 0.0446259864414489
"35" 0.295 0.289 0.32 0.347012123303028
"36" 0.089 0.084 0.097 0.0859956006546413
"37" 0.877 0.871 0.888 0.814745678803369
"38" 0.548 0.552 0.562 0.559726451141244
"39" 0.279 0.246 0.233 0.270381479800181
"40" 0.588 0.578 0.621 0.587054410746565
"41" 0.362 0.355 0.382 0.412821682608677
"42" 0.579 0.589 0.582 0.586164876791116
"43" 0.013 0.011 0.013 0.0116608780968374
"44" 0.354 0.347 0.369 0.393398206130684
"45" 0.509 0.5 0.517 0.519909548579941
"46" 0.462 0.461 0.47 0.498937859136375
"47" 0.721 0.732 0.742 0.70835588112676
"48" 0.346 0.363 0.353 0.381845887542921
"49" 0.433 0.48 0.479 0.491587653167775
"50" 0.027 0.035 0.032 0.0227628409427238
"51" 0.874 0.874 0.914 0.825195626590387
"52" 0.549 0.543 0.569 0.564509696079046
"53" 0.754 0.789 0.809 0.739840819812875
"54" 0.553 0.585 0.587 0.575143836171915
"55" 0.483 0.488 0.473 0.505588532162842
"56" 0.973 0.97 0.988 0.916711417999557
"57" 0.021 0.023 0.016 0.017594553787659
"58" 0.109 0.11 0.114 0.117479163673331
"59" 0.515 0.49 0.521 0.521311936013805
"60" 0.29 0.319 0.306 0.3213218005362
"61" 0.976 0.973 0.985 0.924210253905804
"62" 0.669 0.681 0.693 0.665258610851934
"63" 0.082 0.08 0.095 0.0902642534423421
"64" 0.789 0.84 0.85 0.781310651768713
"65" 0.554 0.562 0.568 0.558983245395326
"66" 0.006 0.003 0.005 0.002983340761747
"67" 0.799 0.797 0.823 0.768512012285138
"68" 0.144 0.14 0.139 0.151573206113029
"69" 0.347 0.34 0.377 0.381025813660794
"70" 0.697 0.682 0.695 0.682165923624267
"71" 0.229 0.214 0.217 0.249535755439794
"72" 0.88 0.879 0.903 0.82607901911651
"73" 0.469 0.466 0.498 0.472794366312318
"74" 0.268 0.27 0.281 0.289349758631871
"75" 0.037 0.021 0.022 0.0224752872435175
"76" 0.3 0.27 0.296 0.31811957885463
"77" 0.946 0.943 0.966 0.888954050159907
"78" 0.258 0.27 0.259 0.282395073208131
"79" 0.788 0.8 0.822 0.774638641843468
"80" 0.009 0.01 0.01 0.00931843470769811
"81" 0.746 0.743 0.754 0.728052520544036
"82" 0.504 0.527 0.519 0.538469873260393
"83" 0.576 0.581 0.576 0.583880600010049
"84" 0.296 0.332 0.316 0.341315088946458
"85" 0.747 0.753 0.757 0.714737372989569
"86" 0.284 0.261 0.289 0.313307338570269
"87" 0.318 0.374 0.363 0.35889923257951
"88" 0.285 0.264 0.313 0.309645244287057
"89" 0.057 0.039 0.056 0.0497357783548739
"90" 0.547 0.543 0.554 0.548544511078271
"91" 0.75 0.743 0.759 0.732160833442471
"92" 0.781 0.813 0.822 0.768555790060998
"93" 0.302 0.26 0.316 0.32880878787909
"94" 0.965 0.964 0.982 0.914730448839423
"95" 0.419 0.405 0.405 0.438556445530486
"96" 0.777 0.762 0.81 0.747684039963332
"97" 0.271 0.23 0.278 0.286051317078738
"98" 0.458 0.456 0.468 0.481736648129485
"99" 0.904 0.903 0.934 0.852967589563954
"100" 0.084 0.08 0.08 0.0799198887028078
"101" 0.988 0.993 0.99 0.942269092150464
"102" 0.823 0.843 0.863 0.811075137693676
"103" 0.56 0.556 0.595 0.583269451311229
"104" 0.546 0.53 0.558 0.56047341618324
"105" 0.079 0.057 0.052 0.0645964206443141
"106" 0.018 0.02 0.011 0.0140861134704596
"107" 0.522 0.508 0.529 0.520804545805885
"108" 0.785 0.788 0.812 0.756638027762492
"109" 0.229 0.219 0.206 0.23872622872286
"110" 0.261 0.265 0.259 0.285111770928061
"111" 0.888 0.887 0.9 0.818482358888714
"112" 0.284 0.278 0.277 0.311274888641662
"113" 0.878 0.858 0.901 0.8211702228847
"114" 0.026 0.035 0.023 0.0280452203787387
"115" 0.825 0.843 0.858 0.793792833242434
"116" 0.531 0.542 0.547 0.556103645399883
"117" 0.158 0.156 0.161 0.179653170022127
"118" 0.403 0.404 0.408 0.447612919293308
"119" 0.805 0.812 0.838 0.767962400552127
"120" 0.41 0.383 0.395 0.422641673357322
"121" 0.044 0.04 0.033 0.0390574629550935
"122" 0.707 0.696 0.698 0.687343854216375
"123" 0.569 0.604 0.609 0.593725720456419
