"A" "B" "P" "BT"
"1" 0.359 0.408 0.35 0.402067395616066
"2" 0.183 0.203 0.193 0.212916438798057
"3" 0.861 0.869 0.897 0.812207924483749
"4" 0.325 0.336 0.318 0.356682535433982
"5" 0.246 0.253 0.239 0.272508432418806
"6" 0.78 0.769 0.806 0.744329076173233
"7" 0.262 0.256 0.268 0.291624837346172
"8" 0.328 0.346 0.333 0.366295897460009
"9" 0.588 0.615 0.638 0.616539139425603
"10" 0.088 0.085 0.087 0.0940150534329106
"11" 0.877 0.86 0.902 0.819896096720626
"12" 0.858 0.879 0.902 0.831011292575569
"13" 0.444 0.454 0.482 0.469744482201055
"14" 0.309 0.344 0.332 0.366794076488589
"15" 0.524 0.526 0.533 0.54631992478398
"16" 0.063 0.086 0.083 0.0755338621927151
"17" 0.278 0.262 0.289 0.293806959743798
"18" 0.157 0.157 0.147 0.158834785771338
"19" 0.239 0.24 0.222 0.24758351811527
"20" 0.211 0.221 0.205 0.241924729627962
"21" 0.596 0.62 0.622 0.611684867953857
"22" 0.307 0.29 0.329 0.331218976281332
"23" 0.763 0.772 0.802 0.742319496937025
"24" 0.17 0.165 0.203 0.200138571755592
"25" 0.128 0.12 0.144 0.150947572368867
"26" 0.231 0.224 0.236 0.27063970900438
"27" 0.812 0.798 0.831 0.771525384546605
"28" 0.219 0.277 0.28 0.271269358569272
"29" 0.97 0.956 0.969 0.920484967686216
"30" 0.259 0.231 0.264 0.282439254406302
"31" 0.092 0.103 0.116 0.104845243920251
"32" 0.974 0.973 0.979 0.901323520690468
"33" 0.93 0.931 0.933 0.8799316750582
"34" 0.836 0.81 0.838 0.770148103855603
"35" 0.119 0.135 0.131 0.128713731689519
"36" 0.265 0.22 0.257 0.264181994374254
"37" 0.292 0.304 0.299 0.317284106357922
"38" 0.777 0.787 0.802 0.748654271967977
"39" 0.284 0.267 0.25 0.292984945275743
"40" 0.736 0.729 0.74 0.70088835571706
"41" 0.425 0.378 0.422 0.42456063160089
"42" 0.966 0.973 0.97 0.918158728865553
"43" 0.793 0.785 0.8 0.749111206645398
